,7962629,8155117,8354625,8553607,8745378,8938208,9110216,9285458,9487426,9676110,9877036,10070789,10270349,10467362,10664157,10866666,11060222,11262275,11457486,11659570,11861210,12043054,12244515,12438842,12638919,12831436,13029639,13230157,13422506,13620205,13809597,14009885,14210564,14391029,14589816,14779829,14967365
nodes,,,,,,,,,,,,,,,3.0,3.0,5.0,5.0,5.0,7.0,7.0,7.0,11.0,11.0,,,,12.0,12.0,11.0,12.0,,,12.0,12.0,12.0,13.0
edges,,,,,,,,,,,,,,,3.0,3.0,7.0,7.0,7.0,17.0,15.0,15.0,22.0,23.0,,,,22.0,23.0,22.0,22.0,,,21.0,21.0,20.0,24.0
avg_degree_path,,,,,,,,,,,,,,,2.0,2.0,2.8,2.8,2.8,4.857142857142857,4.285714285714286,4.285714285714286,4.0,4.181818181818182,,,,3.6666666666666665,3.8333333333333335,4.0,3.6666666666666665,,,3.5,3.5,3.3333333333333335,3.6923076923076925
min_degree_path,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
max_degree_path,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,4.0,6.0,5.0,5.0,7.0,7.0,,,,6.0,7.0,7.0,7.0,,,7.0,7.0,7.0,7.0
diameter,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,5.0,5.0,4.0,5.0,,,4.0,4.0,4.0,4.0
avg_shortest_path,,,,,,,,,,,,,,,1.0,1.0,1.3,1.3,1.3,1.1904761904761905,1.3333333333333333,1.3333333333333333,1.7818181818181817,1.7454545454545454,,,,2.1818181818181817,2.0303030303030303,1.9090909090909092,2.0606060606060606,,,2.0,2.0,2.015151515151515,2.0256410256410255
density,,,,,,,,,,,,,,,1.0,1.0,0.7,0.7,0.7,0.8095238095238095,0.7142857142857143,0.7142857142857143,0.4,0.41818181818181815,,,,0.3333333333333333,0.3484848484848485,0.4,0.3333333333333333,,,0.3181818181818182,0.3181818181818182,0.30303030303030304,0.3076923076923077
degree_centrality_avg,,,,,,,,,,,,,,,1.0,1.0,0.7,0.7,0.7,0.8095238095238095,0.7142857142857142,0.7142857142857142,0.4,0.4181818181818182,,,,0.3333333333333333,0.34848484848484845,0.4,0.3333333333333333,,,0.3181818181818181,0.3181818181818181,0.303030303030303,0.3076923076923076
degree_centrality_min,,,,,,,,,,,,,,,1.0,1.0,0.25,0.5,0.25,0.5,0.16666666666666666,0.16666666666666666,0.1,0.1,,,,0.09090909090909091,0.09090909090909091,0.1,0.09090909090909091,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08333333333333333
degree_centrality_max,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,0.8333333333333333,0.7000000000000001,0.7000000000000001,,,,0.5454545454545454,0.6363636363636364,0.7000000000000001,0.6363636363636364,,,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5833333333333333
betweeness_centrality_avg,,,,,,,,,,,,,,,0.0,0.0,0.1,0.09999999999999999,0.1,0.03809523809523809,0.06666666666666667,0.06666666666666667,0.08686868686868686,0.08282828282828286,,,,0.11818181818181817,0.10303030303030303,0.10101010101010104,0.10606060606060608,,,0.09999999999999999,0.09999999999999999,0.1015151515151515,0.09324009324009325
betweeness_centrality_min,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
betweeness_centrality_max,,,,,,,,,,,,,,,0.0,0.0,0.5,0.3333333333333333,0.5,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.5588888888888889,0.548888888888889,,,,0.4727272727272727,0.4727272727272727,0.5111111111111112,0.6,,,0.6121212121212122,0.6121212121212122,0.6121212121212122,0.5707070707070708
triangles_avg,,,,,,,,,,,,,,,1.0,1.0,2.4,1.8,2.4,8.142857142857142,6.857142857142857,6.857142857142857,4.636363636363637,5.454545454545454,,,,4.25,5.0,5.454545454545454,4.5,,,3.25,3.25,2.75,3.6923076923076925
triangles_min,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
triangles_max,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,3.0,11.0,9.0,9.0,10.0,11.0,,,,9.0,12.0,12.0,10.0,,,8.0,8.0,7.0,10.0
